city,lat,lng,population
Hong Kong,22.305,114.185,7347000
Zhanjiang,21.1967,110.4031,7332000
Shaoyang,27.2418,111.4725,7302400
Hengyang,26.8968,112.5857,7300600
Khartoum,15.6031,32.5265,7282000
Nantong,31.9829,120.8873,7282835
Yancheng,33.3936,120.1339,7260240
Nanning,22.8192,108.315,7153300
Xi’an,34.2667,108.9,7135000
Shenyang,41.8039,123.4258,7105000
Tangshan,39.6292,118.1742,7100000
Santiago,-33.45,-70.6667,7007000
Zhengzhou,34.7492,113.6605,7005000
Shangqiu,34.4259,115.6467,7000000
Yantai,37.3997,121.2664,6968202
Riyadh,24.65,46.71,6881000
Dar es Salaam,-6.8,39.2833,6698000
Xinyang,32.1264,114.0672,6634000
Shangrao,28.4419,117.9633,6579714
Luoyang,34.6587,112.4245,6549941
Bijie,27.3019,105.2863,6537498
Quanzhou,24.9139,118.5858,6480000
Hangzhou,30.25,120.1675,6446000
Miami,25.7839,-80.2102,6445545
Huanggang,30.45,114.875,6333000
Maoming,21.6618,110.9178,6313200
Kunming,25.0433,102.7061,6250000
Nanchong,30.7991,106.0784,6183000
Zunyi,27.705,106.9336,6127009
Jieyang,23.5533,116.3649,6089400
Lu’an,31.7542,116.5078,6090000
Yichun,27.8041,114.383,6048700
Madrid,40.4167,-3.7167,6026000
Changde,29.0397,111.6839,6011000
Taizhou,28.6583,121.4221,5968838
Liaocheng,36.45,115.9833,5955300
Qujing,25.5102,103.8029,5855055
Sūrat,21.17,72.83,5807000
Baghdad,33.35,44.4167,5796000
Qingdao,36.1167,120.4,5775000
Singapore,1.3,103.8,5745000
Dallas,32.7936,-96.7662,5743938
Dazhou,31.2152,107.4947,5693000
Suzhou,33.6333,116.9683,5690000
Xiangyang,32.0654,112.1531,5680000
Philadelphia,40.0077,-75.1339,5649300
Giza,29.987,31.2118,5598402
Nairobi,-1.2864,36.8172,5545000
Nangandao,35.2992,113.8851,5516000
Ankara,39.93,32.85,5503985
Tai’an,36.2001,117.0809,5499000
Yulin,22.6293,110.1507,5487368
Dezhou,37.4513,116.3105,5470000
Houston,29.7863,-95.3889,5464251
Atlanta,33.7627,-84.4224,5449398
Yongzhou,26.4515,111.5953,5446100
Rangoon,16.8,96.15,5430000
Toronto,43.7417,-79.3733,5429524
Suihua,46.6384,126.9808,5420000
Washington,38.9047,-77.0163,5379184
Qiqihar,47.3398,123.9512,5367003
Jinhua,29.1046,119.6494,5361572
Saint Petersburg,59.95,30.3167,5351935
Shantou,23.3735,116.6941,5319028
Sydney,-33.865,151.2094,5312163
Weinan,34.4996,109.4684,5300000
Suqian,33.9331,118.2831,5290000
Guadalajara,20.6767,-103.3475,5253000
Suzhou,31.304,120.6164,5250000
Fuzhou,26.0769,119.2917,5245000
Zhaotong,27.3328,103.7144,5213521
Pudong,31.2231,121.5397,5187200
Belo Horizonte,-19.9281,-43.9419,5159000
Zhangzhou,24.5093,117.6612,5140000
Bozhou,33.8626,115.7742,5100000
Melbourne,-37.8136,144.9631,5078193
Nanchang,28.6842,115.8872,5042565
Xianyang,34.35,108.7167,5040000
Taizhou,32.4831,119.9,5031000
Surabaya,-7.2458,112.7378,4975000
Abidjan,5.3364,-4.0267,4980000
Huaihua,27.5494,109.9592,4983300
Ji’an,27.1172,114.9793,4956600
Mianyang,31.4669,104.7385,4945000
Xiaoganzhan,30.9273,113.911,4921000
Shaoxing,30,120.5833,4912239
Alexandria,31.2,29.9167,4870000
Yuncheng,35.0304,110.998,4860000
Pingdingshan,33.735,113.2999,4838000
Huizhou,23.1115,114.4152,4830000
Huai’an,33.5,119.1331,4799889
Xinpu,34.5906,119.1801,4790000
Chenzhou,25.7989,113.0267,4754600
Guilin,25.2667,110.2833,4747963
Jiujiang,29.7048,116.0021,4728778
Anqing,30.5,117.0333,4723000
Boston,42.3188,-71.0846,4688346
Huanglongsi,34.7936,114.3403,4676159
Jiangmen,22.5833,113.0833,4630300
Changzhou,31.8122,119.9692,4592431
Barcelona,41.3825,2.1769,4588000
Wuxi,31.5667,120.2833,4580000
Zibo,36.7831,118.0497,4530597
Jiaxing,30.7522,120.75,4501657
Dalian,38.9,121.6,4480000
Hengshui,37.7348,115.686,4472000
Harbin,45.75,126.6333,4458000
Yangzhou,32.3912,119.4363,4459000
Yibin,28.7596,104.64,4456000
Johannesburg,-26.2044,28.0416,4434827
Yiyang,28.5833,112.3333,4420700
Meizhou,24.2998,116.1191,4378800
Chifeng,42.2663,118.9223,4376600
Casablanca,33.5992,-7.62,4370000
Guiyang,26.5794,106.7078,4365000
Langfang,39.5196,116.7006,4358839
Zhangjiakou,40.8108,114.8811,4345491
İzmir,38.4127,27.1384,4320519
Linfen,36.0812,111.5087,4316610
Wenzhou,27.9991,120.6561,4310000
Monterrey,25.6667,-100.3,4295000
Luzhou,28.8918,105.4409,4291000
Jiangguanchi,34.0244,113.8201,4289000
Neijiang,29.5872,105.0635,4238000
Phoenix,33.5722,-112.0891,4219697
Yanjiang,30.1256,104.6397,4217000
Zhaoqing,23.05,112.4667,4151700
Xiaoxita,30.7083,111.2803,4137900
Guigang,23.0961,109.6092,4118808
Xiamen,24.4797,118.0819,4110000
Chuzhou,32.3062,118.3115,4110000
Fuzhou,27.9814,116.3577,4047200
Zhuzhou,27.8407,113.1469,4028500
Amman,31.95,35.9333,4007526
Jeddah,21.5428,39.1728,3976000
Loudi,27.7378,111.9974,3941300
Deyang,31.1289,104.395,3877000
Qingyuan,23.6842,113.0507,3874000
Wuhu,31.334,118.3622,3842100
Hechi,23.0965,109.6091,3830000
Seattle,47.6211,-122.3244,3789215
Binzhou,37.3806,118.0125,3779200
Yokohama,35.4333,139.6333,3757630
Liuzhou,24.3264,109.4281,3758704
Baojishi,34.3609,107.1751,3738700
Guang’an,30.4673,106.6336,3723000
Hanzhong,33.0794,107.026,3700000
Kabul,34.5328,69.1658,3678034
Zaozhuang,34.8667,117.55,3650000
Berlin,52.5167,13.3833,3644826
Anshan,41.1066,122.9895,3645884
Lanzhou,36.0617,103.8318,3616163
Chengde,40.9739,117.9322,3610000
San Francisco,37.7562,-122.443,3592294
Puyang,35.7639,115.03,3580000
Suining,30.5098,105.5737,3556000
Jiaozuo,35.229,113.2304,3540101
Bengbu,32.9354,117.3531,3525000
Montréal,45.5089,-73.5617,3519595
Detroit,42.3834,-83.1024,3506126
Baicheng,23.901,106.6194,3466758
Busan,35.1,129.0403,3453198
Algiers,36.7764,3.0586,3415811
Qincheng,34.5809,105.7311,3400000
Taiyuan,37.8733,112.5425,3398000
Shiyan,32.6351,110.7755,3398000
Lucknow,26.847,80.947,3382000
Chaoyang,41.5757,120.4486,3370000
Hechi,24.6928,108.085,3369251
Leshan,29.5854,103.7575,3364000
Yulinshi,38.2655,109.7388,3328000
Siping,43.1715,124.3644,3300000
Zhongshan,22.5333,113.35,3260000
Changzhi,36.1953,113.097,3230000
San Diego,32.8312,-117.1225,3220118
Faisalabad,31.418,73.079,3203846
Santa Cruz,-17.7892,-63.1975,3151676
Qinhuangdao,39.9398,119.5881,3146300
Bazhou,31.8576,106.7559,3134000
Zhenjiang,32.2109,119.4551,3113384
Ürümqi,43.8225,87.6125,3112559
Tongliao,43.6172,122.264,3094600
Heyuan,23.7503,114.6923,3093900
Tongren,27.7233,109.1885,3093204
Qinzhou,21.95,108.6167,3079721
Jaipur,26.9167,75.8667,3073350
Xinzhou,38.4178,112.7233,3067501
Addis Ababa,9.0272,38.7369,3041002
Meishan,30.0575,103.8381,3020000
Brasília,-15.7939,-47.8828,3015268
Mashhad,36.3069,59.6042,3001184
Jinzhou,41.1144,121.1292,3000000
Tieling,42.2841,123.8365,3000000
Shaoguan,24.8011,113.5927,2997600
Kuwait City,29.375,47.98,2989000
Shanwei,22.7664,115.3331,2993600
Minneapolis,44.9635,-93.2678,2977172
Kyiv,50.45,30.5236,2963199
Sanaa,15.35,44.2,2957000
Quezon City,14.6333,121.0333,2936116
Dingxi,35.5806,104.6263,2930000
Incheon,37.4639,126.6486,2913024
Bursa,40.1833,29.0667,2901396
Ningde,26.6667,119.5167,2910000
Tampa,27.9942,-82.4451,2908063
Daqing,46.5979,125.008,2904532
Birmingham,52.48,-1.9025,2897303
Putian,25.4394,119.0103,2900000
Huzhou,30.8695,120.0958,2893542
Salvador,-12.9708,-38.5108,2886698
Wuzhou,23.4833,111.3167,2882200
Xiangtan,27.8431,112.9228,2881500
Denver,39.7621,-104.8759,2876625
Rome,41.8931,12.4828,2872800
La Paz,-16.4942,-68.1475,2867504
Pyongyang,39.03,125.73,2863000
Kano,12,8.5167,2828861
Taichung,24.15,120.6667,2803894
Omdurman,15.6835,32.4629,2805396
Zigong,29.3498,104.7645,2800000
Mudanjiang,44.5861,129.5997,2790000
Huludao,40.7094,120.8378,2787000
Kaohsiung,22.6167,120.3,2773533
Guayaquil,-2.1833,-79.8833,2723665
Rizhao,35.4164,119.4331,2720000
Manchester,53.4794,-2.2453,2705000
Cawnpore,26.4725,80.3311,2701324
Baotou,40.6562,109.8345,2700000
Taipei,25.0478,121.5319,2684567
Nanping,26.6448,118.1728,2690000
Chaozhou,23.67,116.63,2656600
Longyan,25.0881,117.0244,2640000
Ibadan,7.3964,3.9167,2628000
Hohhot,40.8151,111.6629,2635000
Antananarivo,-18.9386,47.5214,2610000
Longba,33.535,105.349,2614000
Weihai,37.5,122.1,2596753
Chattogram,22.335,91.8325,2581643
Santo Domingo,18.4764,-69.8933,2581827
Xuanzhou,30.9475,118.7518,2580000
Sanming,26.2658,117.6302,2580000
Brooklyn,40.6501,-73.9496,2559903
Yangjiang,21.8556,111.9627,2555600
Medellín,6.2447,-75.5748,2529403
Yunfu,22.9242,112.0353,2526900
Brisbane,-27.4678,153.0281,2514184
Baoshan,25.1211,99.169,2506491
Dubai,25.2697,55.3094,2502715
Luohe,33.583,114.0109,2500000
Qinbaling,35.7278,107.64,2500000
Mirzāpur,25.15,82.58,2496970
Guangyuan,32.4353,105.8398,2484122
Cali,3.44,-76.5197,2471474
Huangshi,30.2018,115.0326,2471700
Daegu,35.8667,128.6,2461002
Fortaleza,-3.7275,-38.5275,2452185
Guatemala City,14.6099,-90.5252,2450212
Yaoundé,3.8578,11.5181,2440462
Douala,4.05,9.7,2446945
Jilin,43.85,126.55,2396000
Lianshan,40.7503,120.83,2426000
Lincang,23.8864,100.0871,2429497
Antalya,36.9081,30.6956,2426356
Tashkent,41.3,69.2667,2424100
Bandung,-6.95,107.5667,2394873
Nāgpur,21.1539,79.0831,2405665
Huainan,32.4831,117.0164,2409000
Dandong,40.1167,124.3833,2400000
Shangzhou,33.868,109.9244,2400000
Bekasi,-6.2333,107,2381053
Ghāziābād,28.6667,77.4167,2381452
Tijuana,32.525,-117.0333,2384609
Jiamusi,46.8081,130.3653,2360000
Accra,5.6037,-0.187,2291352
Yuxi,24.3495,102.5432,2303518
Anshun,26.2456,105.934,2297612
Vancouver,49.25,-123.1,2264823
Tangerang,-6.1783,106.6319,2237006
Konya,37.8714,32.4847,2232374
Queens,40.7498,-73.7976,2230722
Yingkou,40.6653,122.2297,2220000
Adana,37,35.325,2220125
Medan,3.6667,98.6667,2210625
Sanmenxia,34.7736,111.195,2213000
Indore,22.7206,75.8472,2201927
Ma’anshan,31.7135,118.3605,2202899
Pingliang,35.5412,106.6819,2190000
Quzhou,28.9545,118.8763,2185000
Baku,40.3667,49.8352,2181800
Gaoping,30.7804,106.13,2174000
Huaibei,33.9562,116.789,2158000
Xining,36.6239,101.7787,2154000
Harare,-17.8292,31.0522,2150000
Yan’an,36.5952,109.4863,2150000
Havana,23.1367,-82.3589,2141652
Phnom Penh,11.5696,104.921,2129371
Fukuoka,33.6,130.4167,2128000
Mogadishu,2.0408,45.3425,2120000
Jincheng,35.4906,112.8483,2120000
Puning,23.2993,116.1586,2118200
Lishui,28.45,119.9167,2116957
Qingyang,24.8141,118.5792,2111000
Riverside,33.9381,-117.3948,2107852
Baltimore,39.3051,-76.6144,2106068
Haiphong,20.8,106.6667,2103500
Las Vegas,36.2333,-115.2654,2104198
Laibin,23.7333,109.2333,2099711
Rawalpindi,33.6007,73.0679,2098231
Kumasi,6.6833,-1.6167,2069350
Portland,45.5372,-122.65,2074775
Vadodara,22.3,73.2,2065771
Perth,-31.9522,115.8589,2059484
San Antonio,29.4658,-98.5253,2049293
Vishākhapatnam,17.7333,83.3167,2035922
Gujranwala,32.15,74.1833,2027001
Gaziantep,37.0667,37.3833,2028563
Fushun,41.8708,123.8917,2024000
St. Louis,38.6358,-90.2451,2024074
Bamako,12.6458,-7.9922,2009109
Quito,-0.2186,-78.5097,2011388
Minsk,53.9022,27.5618,2009786
Pingxiang,27.6333,113.85,2001027
Chongzuo,22.4167,107.3667,1994285
Şanlıurfa,37.1583,38.7917,1985753
Kananga,-5.897,22.4488,1971704
Peshawar,34,71.5,1970042
Sapporo,43.0621,141.3544,1961690
Hezhou,24.4164,111.5478,1954072
Jixi,45.2937,130.965,1950000
Caracas,10.5,-66.9333,1943901
Fuxin,42.0127,121.6486,1930000
Aleppo,36.2,37.15,1916781
Almaty,43.25,76.9,1916822
Dayr az Zawr,35.3333,40.15,1918000
Vienna,48.2083,16.3731,1911191
Leeds,53.7997,-1.5492,1901934
Sacramento,38.5667,-121.4683,1898019
Blantyre,-15.7861,35.0058,1895973
Tainan,22.9833,120.1833,1883831
Zhuhai,22.2769,113.5678,1891100
Bucharest,44.4,26.0833,1883425
Wuwei,37.9278,102.6329,1890000
Bhopāl,23.25,77.4167,1883381
Curitiba,-25.4297,-49.2719,1879355
Multan,30.1978,71.4711,1871843
Xiping,40.08,113.3,1873000
Asunción,-25.3,-57.6333,1870000
Saidu Sharif,34.75,72.3572,1860310
Hamburg,53.55,10,1841179
Meru,0.05,37.65,1833000
Brazzaville,-4.2667,15.2833,1827000
Orlando,28.4772,-81.3369,1822394
Mersin,36.8,34.6167,1814468
Kyōto,35.0111,135.7669,1805000
Manaus,-3.1,-60.0167,1802014
Liaoyang,41.2643,123.1772,1800000
Baiyin,36.5448,104.1766,1799000
San Jose,37.3019,-121.8486,1798103
Warsaw,52.2167,21.0333,1790658
Shengli,37.45,118.4667,1790000
Lubumbashi,-11.6697,27.4581,1786397
Haikou,20.02,110.32,1776141
Damascus,33.5131,36.2919,1754000
Shuyangzha,34.1299,118.7734,1770000
Brussels,50.8333,4.3333,1743000
Eşfahān,32.6447,51.6675,1756126
Budapest,47.4983,19.0408,1752286
Heihe,50.2458,127.4886,1750000
Lusaka,-15.4167,28.2833,1742979
Hyderabad City,25.3792,68.3683,1732693
Diyarbakır,37.9108,40.2367,1732396
Chinchvad,18.6278,73.8131,1729320
Shuozhou,39.3408,112.4292,1714857
Cleveland,41.4767,-81.6804,1710093
Pittsburgh,40.4396,-79.9762,1703266
Patna,25.61,85.1414,1684222
Mosul,36.3667,43.1167,1694000
Austin,30.3004,-97.7522,1687311
Sanzhou,30.82,108.4,1680000
Mecca,21.4225,39.8261,1675368
Conakry,9.5092,-13.7122,1667864
Kampala,0.3136,32.5811,1659600
Ecatepec,19.6097,-99.06,1656107
Cincinnati,39.1413,-84.5061,1662691
Makassar,-5.1331,119.4136,1651146
Yushan,31.3867,120.9766,1651200
Ludhiāna,30.9083,75.8486,1649000
Newcastle,55.0077,-1.6578,1650000
Depok,-6.394,106.8225,1631951
Zhongli,24.965,121.2168,1632616
Kansas City,39.1239,-94.5541,1636715
Ouagadougou,12.3572,-1.5353,1626950
Davao,7.0667,125.6,1632991
Manhattan,40.7834,-73.9662,1628706
Semarang,-6.9667,110.4167,1621384
Yinchuan,38.4795,106.2254,1616000
Caloocan City,14.65,120.9667,1583978
Novosibirsk,55.0333,82.9167,1602915
Chengtangcun,35.0833,117.15,1603659
Āgra,27.18,78.02,1585705
Karaj,35.8327,50.9915,1592492
Indianapolis,39.7771,-86.1458,1588961
Jingdezhen,29.2942,117.2036,1587477
Puebla,19.0333,-98.1833,1576259
Kalyān,19.2502,73.1602,1576614
Madurai,9.9197,78.1194,1561129
Benxi,41.292,123.761,1567000
Jamshedpur,22.8,86.1833,1558000
Recife,-8.0539,-34.8808,1555039
Columbus,39.9862,-82.985,1562009
Tabrīz,38.0833,46.2833,1558693
Maracaibo,10.6333,-71.6333,1551539
Zhangjiajie,29.1255,110.4844,1549200
Beihai,21.4667,109.1,1539251
Shuangyashan,46.6388,131.1545,1530000
Kōbe,34.6913,135.183,1513193
Charlotte,35.208,-80.8304,1512923
Yucheng,29.9888,103.0007,1512000
Changshu,31.65,120.7333,1510100
Lianjiang,21.6146,110.2794,1509400
Ximeicun,24.9633,118.3811,1508000
Jianguang,28.1958,115.7833,1507402
Madīnat as Sādis min Uktūbar,29.9361,30.9269,1500000
Xushan,30.1697,121.2665,1502000
Belém,-1.4558,-48.5039,1499641
Guiping,23.4,110.0833,1496904
Leizhou,20.9147,110.0806,1494700
Gwangju,35.1667,126.9167,1490092
Nāsik,20,73.7833,1486053
Porto Alegre,-30.0328,-51.23,1484941
Valencia,10.1667,-68,1484430
Onitsha,6.1667,6.7833,1483000
Virginia Beach,36.7335,-76.0435,1478868
Daejeon,36.351,127.385,1475221
Munich,48.1372,11.5755,1471508
Auckland,-36.85,174.7833,1470100
Yekaterinburg,56.8356,60.6128,1468833
Huangshan,29.7132,118.3151,1470000
Huazhou,32.6889,112.0447,1468061
Shīrāz,29.61,52.5425,1460665
Pizhou,34.3422,118.0097,1458038
Palembang,-2.9833,104.7644,1452456
León de los Aldama,21.1167,-101.6833,1454793
El Kelaa des Srarhna,32.05,-7.4,1450021
Kharkiv,50,36.2292,1446107
Kawanakajima,35.53,139.705,1437266
Yangshe,31.8775,120.5512,1432044
Chizhou,30.6583,117.4849,1430000
Guyuan,36.008,106.2782,1426000
Rui’an,27.778,120.6526,1424667
Birstall,52.6736,-1.12,1424216
Muscat,23.6139,58.5922,1421409
Hebi,35.7497,114.2887,1419000
Bronx,40.8501,-73.8662,1418207
Gaozhou,21.9135,110.8481,1414100
The Hague,52.0767,4.2986,1406000
Owerri,5.4833,7.0333,1401873
Sharjah,25.3575,55.3919,1400000
Farīdābād,28.4333,77.3167,1394000
Ulaanbaatar,47.9203,106.9172,1396288
Goiânia,-16.6806,-49.2564,1393575
Kayseri,38.7333,35.4833,1389680
Yueqing,28.1188,120.9621,1389332
Belgrade,44.8167,20.4667,1378682
Pingdu,36.7833,119.9556,1378900
Milan,45.4669,9.19,1366180
Aurangābād,19.88,75.32,1371330
Yutan,28.3147,112.554,1368117
Wenling,28.3797,121.3718,1366794
Milwaukee,43.0642,-87.9673,1365787
Sofia,42.6979,23.3217,1355142
Adelaide,-34.9289,138.6011,1345777
Prague,50.0833,14.4167,1335084
Samsun,41.2867,36.33,1335716
Rājkot,22.2969,70.7984,1335397
Liangshi,27.2578,111.7351,1335900
Khulna,22.8167,89.55,1311100
Córdoba,-31.4167,-64.1833,1329604
Guarulhos,-23.4667,-46.5333,1324781
Juárez,31.7386,-106.487,1321004
Saitama,35.8617,139.6453,1320571
Montevideo,-34.8667,-56.1667,1319108
Mbuji-Mayi,-6.1209,23.5967,1295000
Fuqing,25.7232,119.3735,1316000
Xintai,35.91,117.78,1315942
Doha,25.3,51.5333,1312947
Hiroshima,34.4,132.45,1306589
Meerut,28.99,77.7,1305429
Yushu,44.8249,126.5451,1304436
Rongcheng,26.2312,104.0966,1302891
Huazhou,21.654,110.6294,1302100
Yangquan,37.8576,113.5762,1300000
Haicheng,40.8523,122.7474,1293877
Yingtan,28.2333,117,1288615
Huaiyin,33.58,119.03,1264000
Wuzhong,37.9874,106.1919,1284000
Barranquilla,10.9639,-74.7964,1274250
Jabalpur,23.1667,79.9333,1267564
Thāne,19.18,72.9633,1261517
Zhangye,38.9355,100.4553,1270000
Rucheng,32.3852,120.5634,1267066
Nizhniy Novgorod,56.3269,44.0075,1264075
Comayagüela,14.0833,-87.2167,1250000
Shaoyang,32.9387,119.8404,1253548
Dhanbād,23.7928,86.435,1246000
Yichun,47.7235,128.8893,1250000
Laiwu,36.1833,117.6667,1248636
Jingling,30.6667,113.1667,1247400
Kazan,55.7908,49.1144,1243500
Dayan,26.8808,100.2208,1244769
Suwon,37.2858,127.01,1234300
Jiangyin,31.9087,120.2653,1241045
Yongcheng,33.9317,116.4459,1240382
Calgary,51.05,-114.0667,1239220
Cần Thơ,10.0333,105.7833,1237300
Abuja,9.0556,7.4914,1235880
Yiwu,29.3081,120.0698,1234015
Mandalay,21.9769,96.0869,1225546
Beidao,34.6,105.92,1225000
Al Başrah,30.4889,47.81,1225793
Shuangshui,26.5944,104.8333,1221000
Vila Velha,3.2167,-51.2167,1209091
Allahābād,25.455,81.84,1201000
Vārānasi,25.3189,83.0128,1198491
Chelyabinsk,55.15,61.4,1202371
Mombasa,-4.05,39.6667,1200000
Providence,41.823,-71.4187,1203230
Qom,34.6461,50.8789,1201158
Maiduguri,11.8333,13.15,1197497
Maputo,-25.9153,32.5764,1191613
Rosario,-32.9575,-60.6394,1193605
Benin City,6.3176,5.6145,1190000
Xinyu,27.795,114.9242,1186700
Pikine,14.75,-17.4,1170791
Ahvāz,31.3203,48.6692,1184788
Dublin,53.3497,-6.2603,1173179
Jacksonville,30.3322,-81.6749,1181496
Medina,24.4667,39.6,1180770
Srīnagar,34.0911,74.8061,1180570
Omsk,54.9667,73.3833,1178391
Cilacap,-7.7167,109.017,1174964
Bandar Lampung,-5.4294,105.2625,1166761
Samara,53.1833,50.1167,1169719
Guankou,28.1417,113.625,1168056
Ulsan,35.55,129.3167,1166033
Dingzhou,38.5158,114.9845,1165182
Campinas,-22.9009,-47.0573,1164098
Lianyuan,27.6961,111.6659,1162928
Rongcheng,29.8239,112.9019,1162770
Kaiyuan,36.0656,113.8153,1160000
Nay Pyi Taw,19.7475,96.115,1160242
Dakar,14.7319,-17.4572,1146053
Zhuji,29.7169,120.2314,1157938
Kigali,-1.9536,30.0606,1156663
Zapopan,20.7167,-103.4,1155790
Leiyang,26.4179,112.8457,1151554
Santiago,19.45,-70.7,1142947
Dadukou,26.5849,101.7149,1144000
Xiantao,30.3833,113.4,1140100
Amritsar,31.6167,74.85,1132383
Callao,-12.0611,-77.1333,1129854
Alīgarh,27.88,78.08,1131160
Yingchuan,34.1511,113.4733,1131896
Tegucigalpa,14.0942,-87.2067,1126534
Ciudad Nezahualcóyotl,19.41,-99.03,1109363
Tripoli,32.8752,13.1875,1126000
Rostov,47.2333,39.7167,1125299
Nezahualcóyotl,19.4,-98.9889,1110565
Bhiwandi,19.3,73.0667,1125898
Zhoushan,30.0162,122.0988,1121261
Tbilisi,41.7225,44.7925,1118035
Ufa,54.7333,55.9667,1115560
Fès,34.0433,-5.0033,1112072
Sevilla,37.39,-5.99,1107000
Mexicali,32.6633,-115.4678,1102342
Biên Hòa,10.9277,106.8681,1104000
Gwalior,26.215,78.1931,1101981
Ankang,32.6877,109.0235,1100000
Ikare,7.5304,5.76,1099931
Huambo,-12.7667,15.7333,1100000
Hegang,47.3139,130.2775,1100000
Salt Lake City,40.7777,-111.9306,1098526
Bhilai,21.2167,81.4333,1097000
Yuyao,30.0372,121.1546,1095000
N’Djamena,12.11,15.05,1092066
Hanchuan,30.652,113.8274,1092700
Gongzhuling,43.5036,124.8088,1092692
Irbid,32.5556,35.85,1088100
Hāora,22.59,88.31,1077075
Cologne,50.9422,6.9578,1085664
Krasnoyarsk,56.0167,92.8667,1083865
Yicheng,31.3697,119.8239,1082929
São Gonçalo,-22.8269,-43.0539,1077687
Nashville,36.1715,-86.7843,1081903
Yerevan,40.1814,44.5144,1075800
Rānchi,23.3556,85.3347,1073440
Nur-Sultan,51.1333,71.4333,1078362
Nouakchott,18.0858,-15.9785,1077169
Vereeniging,-26.6736,27.9319,1074000
Richmond,37.5295,-77.4756,1075798
São Luís,-2.53,-44.3028,1073893
San Pedro Sula,15.5,-88.0333,1073824
Taixing,32.1724,120.0142,1073921
Memphis,35.1046,-89.9773,1066967
Goyang,37.6564,126.835,1061929
Bezwāda,16.5167,80.6167,1048240
Edmonton,53.5344,-113.4903,1062643
Mizhou,35.99,119.3801,1060000
Tunis,36.8008,10.18,1056247
Xishan,27.6609,113.4946,1060000
Ezhou,30.3972,114.8842,1059700
Barquisimeto,10.0678,-69.3467,1059092
Sendai,38.2683,140.8694,1058070
Voronezh,51.6717,39.2106,1047549
Perm,58.0139,56.2489,1048005
Changwon,35.2281,128.6811,1046054
Zhongwei,37.5139,105.1884,1046000
Shouguang,36.8833,118.7333,1039205
Bogor,-6.6,106.8,1030720
Raleigh,35.8325,-78.6435,1038738
Cartagena,10.4236,-75.5253,1036412
Chandīgarh,30.7353,76.7911,1026459
Bishkek,42.8667,74.5667,1027200
Matola,-25.9667,32.4667,1032197
Ogbomoso,8.1333,4.25,1032000
Ashgabat,37.95,58.3833,1031992
Maceió,-9.6658,-35.735,1029129
Niamey,13.5086,2.1111,1026848
Managua,12.15,-86.2667,1028808
Patam,1.0678,104.0167,1029808
Tekirdağ,40.9833,27.5167,1029927
Shubrā al Khaymah,30.1286,31.2422,1025569
